divorce_date,dob_man,education_man,income_man,dob_woman,education_woman,income_woman,marriage_date,marriage_duration,num_kids
2006-09-06,1975-12-18,Secondary,2000.0,1983-08-01,Secondary,1800.0,2000-06-26,5.0,1.0
2008-01-02,1976-11-17,Professional,6000.0,1977-03-13,Professional,6000.0,2001-09-02,7.0,
2011-01-02,1969-04-06,Preparatory,5000.0,1970-02-16,Professional,5000.0,2000-02-02,2.0,2.0
2011-01-02,1979-11-13,Secondary,12000.0,1981-05-13,Secondary,12000.0,2006-05-13,2.0,
2011-01-02,1982-09-20,Professional,6000.0,1988-01-30,Professional,10000.0,2007-08-06,3.0,
2012-01-02,1973-09-07,Professional,20000.0,1974-05-20,Professional,15.0,2000-03-08,11.0,
2005-01-03,1970-09-07,Secondary,5600.0,1969-05-25,Secondary,4500.0,1991-10-09,10.0,2.0
2005-01-03,1974-07-02,Preparatory,3500.0,1967-03-19,Preparatory,4000.0,1993-01-02,10.0,2.0
2006-01-03,1964-03-04,Professional,12000.0,1976-08-20,Professional,7000.0,1998-12-11,7.0,1.0
2007-01-03,1969-03-03,Professional,12000.0,1966-07-06,Preparatory,2500.0,1996-04-30,11.0,1.0
2007-01-03,1961-09-26,Professional,6000.0,1962-05-17,Professional,4000.0,1987-03-19,19.0,3.0
2010-01-03,1987-05-04,Preparatory,2000.0,1986-09-21,Preparatory,2000.0,2005-07-12,4.0,
2010-01-03,1968-05-31,Professional,5000.0,1976-08-16,Professional,3800.0,2002-03-22,3.0,1.0
2013-01-03,1981-09-25,Preparatory,1700.0,1979-06-06,Preparatory,5000.0,2008-08-02,3.0,
2002-01-04,1968-09-05,Primary,2000.0,1967-07-06,Preparatory,3400.0,1989-05-26,12.0,2.0
2003-01-04,1977-12-17,Primary,2000.0,1975-07-08,Secondary,1600.0,1996-04-15,6.0,
2008-01-04,1964-11-04,Professional,14000.0,1970-11-17,Professional,4200.0,2001-05-30,5.0,1.0
2009-01-04,1966-02-25,Secondary,5000.0,1965-01-14,Professional,6500.0,1985-12-04,23.0,1.0
2009-01-04,1955-10-15,Professional,10000.0,1963-11-26,Professional,7000.0,1986-01-27,22.0,2.0
2009-01-04,1955-04-19,Professional,15000.0,1964-06-26,Professional,5000.0,2001-04-21,7.0,
2001-01-06,1966-09-16,Professional,12000.0,1966-09-16,Professional,8000.0,1996-01-27,5.0,
2004-01-06,1966-03-21,Professional,1500.0,1976-10-06,Professional,3000.0,2000-10-14,3.0,
2004-01-06,1970-03-04,Preparatory,2000.0,1977-11-20,Professional,3000.0,1998-11-28,5.0,1.0
2010-01-06,1989-10-19,Professional,4000.0,1986-05-25,Professional,4000.0,2009-02-16,1.0,
2011-01-06,1978-10-04,Professional,6000.0,1977-07-01,Professional,6000.0,2009-08-15,1.0,
2012-01-06,1971-02-23,Preparatory,5000.0,1973-01-09,Preparatory,6000.0,1995-10-13,13.0,2.0
2012-01-06,1971-07-26,Professional,6000.0,1970-04-20,Professional,7000.0,1997-12-23,10.0,2.0
2002-01-07,1956-03-10,Professional,8000.0,1951-06-06,Professional,14000.0,1985-02-22,17.0,1.0
2003-01-07,1970-06-24,Preparatory,5000.0,1971-12-07,Preparatory,2000.0,1991-12-04,12.0,2.0
2009-01-07,1977-02-10,Professional,11000.0,1982-03-06,Professional,4000.0,2008-04-25,1.0,
2013-01-07,1981-06-07,Professional,12000.0,1982-05-01,Professional,7000.0,2007-01-30,4.0,1.0
2014-01-07,1982-01-27,Preparatory,4000.0,1977-12-25,Secondary,4000.0,2002-02-26,7.0,
2000-01-08,1965-05-01,Secondary,2200.0,1962-09-30,Professional,2800.0,1992-04-09,7.0,2.0
2000-01-08,1963-08-04,Professional,3000.0,1972-08-25,Preparatory,1700.0,1995-05-27,5.0,1.0
2001-01-08,1966-02-04,Other,5000.0,1965-08-19,Secondary,3000.0,1988-07-23,13.0,
2003-01-08,1971-03-13,Preparatory,3900.0,1970-07-06,Preparatory,2500.0,1992-05-14,11.0,2.0
2003-01-08,1966-01-09,Professional,12000.0,1971-06-14,Preparatory,1500.0,1992-10-24,11.0,3.0
2006-01-08,1963-01-03,Preparatory,2000.0,1963-03-06,Preparatory,3000.0,1992-01-22,2.0,
2008-01-08,1965-12-17,Professional,4000.0,1964-07-05,Professional,3500.0,1997-08-03,11.0,
2011-01-08,1980-04-14,Professional,12000.0,1978-12-12,Professional,6000.0,2002-10-06,9.0,1.0
2011-01-08,1980-12-15,Professional,5000.0,1982-11-24,Professional,6000.0,2002-05-29,9.0,2.0
2000-01-09,1972-11-17,Professional,25000.0,1976-10-29,Professional,3400.0,1994-12-19,3.0,1.0
2004-01-09,1972-12-17,Professional,10000.0,1978-06-29,Professional,8300.0,1999-05-28,5.0,1.0
2008-01-09,1970-01-22,Professional,6500.0,1971-08-31,Professional,10000.0,1993-10-08,15.0,2.0
2008-01-09,1963-09-02,Professional,10000.0,1963-07-04,Professional,10000.0,1994-12-24,13.0,2.0
2008-01-09,1975-12-01,Professional,5000.0,1977-05-30,Professional,6000.0,2003-12-13,15.0,2.0
2008-01-10,1962-10-15,Preparatory,7000.0,1969-08-24,Professional,7000.0,1990-08-01,17.0,
2009-01-10,1966-06-21,Primary,2200.0,1975-06-23,Preparatory,2200.0,1996-11-06,13.0,
2010-01-10,1982-08-03,Professional,10000.0,1982-11-10,Professional,10000.0,2008-02-16,2.0,
2000-01-11,1960-03-29,Professional,3000.0,1962-06-18,Preparatory,4000.0,1980-12-27,19.0,3.0
2012-01-11,1957-12-12,Professional,10000.0,1972-12-16,Professional,12000.0,1997-04-10,14.0,
2012-01-11,1952-12-15,Professional,8400.0,1961-03-18,Professional,3500.0,1988-08-10,24.0,1.0
2004-01-12,1967-03-01,Professional,9000.0,1967-10-03,Professional,4800.0,1991-12-20,12.0,2.0
2009-01-12,1967-03-23,Professional,6000.0,1970-03-17,Professional,5000.0,1992-07-18,13.0,2.0
2009-01-12,1962-05-23,Professional,1000.0,1963-02-09,Professional,6890.0,1989-12-20,16.0,1.0
2009-01-12,1976-06-18,Professional,8000.0,1976-01-28,Professional,6000.0,2004-06-02,4.0,1.0
2009-01-12,1979-11-28,Professional,6000.0,1979-09-19,Professional,6000.0,2005-11-18,4.0,
2001-02-01,1965-02-20,Primary,2400.0,1964-11-27,Professional,3000.0,1989-08-03,11.0,2.0
2004-02-01,1973-11-12,Primary,3100.0,1976-04-25,Secondary,7900.0,2000-03-11,3.0,
2009-02-01,1970-09-22,Secondary,20000.0,1974-09-06,Professional,8000.0,2003-07-23,5.0,